date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260518,Sonia Citron,WSH,WSH @ DAL,Rebounds,3.5,UNDER,,-110,53.8,4,True,True,1,WIN,0.9091,False
20260518,Bridget Carleton,POR,CON @ POR,Points,15.5,UNDER,,-110,53.6,5,True,True,18,LOSS,-1.0,False
20260518,Kiki Iriafen,WSH,WSH @ DAL,Points,15.5,OVER,,-110,53.1,6,True,True,9,LOSS,-1.0,False
20260518,Carla Leite,POR,CON @ POR,Rebounds,2.5,UNDER,,-110,50.2,7,True,True,,VOID,0.0,False
20260518,Paige Bueckers,DAL,WSH @ DAL,Points,20.5,UNDER,,-110,49.7,8,True,True,18,WIN,0.9091,False
20260518,Hailey Van Lith,CON,CON @ POR,Points,10.5,UNDER,,-110,47.8,9,True,True,12,LOSS,-1.0,False
20260518,Shakira Austin,WSH,WSH @ DAL,Rebounds,8.5,UNDER,,-110,46.9,10,True,True,4,WIN,0.9091,False
20260518,Diamond Miller,CON,CON @ POR,Points,9.5,UNDER,,-110,44.2,11,False,True,3,WIN,0.9091,False
20260518,Luisa Geiselsoder,POR,CON @ POR,Points,11.5,UNDER,,-110,43.7,12,False,True,2,WIN,0.9091,False
20260518,Jessica Shepard,DAL,WSH @ DAL,Points,10.5,UNDER,,-110,41.6,13,False,True,12,LOSS,-1.0,False
20260518,Luisa Geiselsoder,POR,CON @ POR,Rebounds,6.5,UNDER,,-110,39.4,14,False,True,2,WIN,0.9091,False
20260518,Saniya Rivers,CON,CON @ POR,Points,9.5,OVER,,-110,36.7,15,False,True,9,LOSS,-1.0,False
20260518,Odyssey Sims,DAL,WSH @ DAL,Points,9.5,UNDER,,-110,26.5,16,False,True,0,WIN,0.9091,False
20260519,Nyara Sabally,TOR,TOR @ PHX,Points,7.5,UNDER,,-110,86.5,1,True,True,,VOID,0.0,False
20260519,Natasha Mack,PHX,TOR @ PHX,Points,8.5,UNDER,,-110,82.6,2,True,True,12,LOSS,-1.0,False
20260519,Alyssa Thomas,PHX,TOR @ PHX,Points,15.5,UNDER,,-110,67.4,3,True,True,17,LOSS,-1.0,False
20260519,Kahleah Copper,PHX,TOR @ PHX,Points,18.5,UNDER,,-110,55.4,4,True,True,18,WIN,0.9091,False
20260519,Nyara Sabally,TOR,TOR @ PHX,Rebounds,5.5,UNDER,,-110,55.1,5,True,True,,VOID,0.0,False
20260519,Brittney Sykes,TOR,TOR @ PHX,Points,19.5,UNDER,,-110,54.9,6,True,True,31,LOSS,-1.0,False
20260519,Marina Mabrey,TOR,TOR @ PHX,Points,17.5,UNDER,,-110,48.0,7,True,True,30,LOSS,-1.0,False
20260519,DeWanna Bonner,PHX,TOR @ PHX,Points,11.5,UNDER,,-110,41.8,8,True,True,13,LOSS,-1.0,False
20260519,Jovana Nogic,PHX,TOR @ PHX,Points,12.5,OVER,,-110,31.0,9,True,True,13,WIN,0.9091,False
